Target_genes	E2F4|Average	SRX027401|Adipocytes	SRX019963|GM06990	SRX150410|GM12878	SRX150445|HeLa	SRX668217|HRPEpiC	SRX150679|K-562	SRX194566|MCF-7	SRX194567|MCF-7	SRX150480|MCF_10A	STRING
SLX1A	1435.333333	1399	478	1532	1592	228	1447	2395	1382	2465	0
BOLA2B	1435.333333	1399	478	1532	1592	228	1447	2395	1382	2465	0
BOLA2	1435.333333	1399	478	1532	1592	228	1447	2395	1382	2465	0
DNA2	1434.888889	1278	362	1987	1797	467	1591	2050	1348	2034	0
CRLF3	1431.333333	1600	744	1796	1723	361	1640	2008	898	2112	0
ATAD5	1431.333333	1600	744	1796	1723	361	1640	2008	898	2112	0
RAD54B	1425.333333	1584	292	2114	1614	330	755	2432	1410	2297	0
NOLC1	1424.222222	953	405	1889	2170	224	2277	1971	616	2313	0
CLSPN	1410.444444	1743	223	1851	1573	281	1651	2109	996	2267	0
H4C12	1410.000000	1344	0	1681	1588	321	1258	2696	1858	1944	0
H2BC15	1410.000000	1344	0	1681	1588	321	1258	2696	1858	1944	0
H2AC15	1410.000000	1344	0	1681	1588	321	1258	2696	1858	1944	0
KRI1	1407.111111	1200	779	2071	1821	587	1873	1584	628	2121	0
CDKN2D	1407.111111	1200	779	2071	1821	587	1873	1584	628	2121	0
CCDC150	1406.444444	1795	649	2200	1275	355	822	2172	1082	2308	0
RPS13	1406.222222	1491	166	1652	1875	283	997	2402	1433	2357	0
MAP3K7	1405.666667	1137	0	2129	2060	270	1069	2655	1152	2179	0
FAM110A	1396.888889	1731	1012	2323	1447	316	1416	1505	420	2402	0
RFC4	1395.888889	1478	187	1409	2159	265	1687	2107	1115	2156	0
TTK	1389.444444	1916	244	2176	1340	238	721	2392	1381	2097	0
MIS18BP1	1388.444444	1284	437	2163	1428	366	1435	2038	1071	2274	0
FAM72C	1387.555556	1660	346	2193	1250	494	1036	2476	1463	1570	0
SPC24	1387.333333	1171	566	2287	1636	391	1844	1696	711	2184	0
UBE2C	1385.222222	1739	510	2101	1712	425	0	2445	1405	2130	0
NEK2	1383.444444	1569	494	2040	2108	479	1773	1684	610	1694	0
GINS3	1380.444444	1319	157	1611	1737	321	1436	2318	1145	2380	0
SRGAP2	1371.333333	1510	303	2223	1326	439	1069	2510	1397	1565	0
FAM72A	1371.333333	1510	303	2223	1326	439	1069	2510	1397	1565	0
BOLA2-SMG1P6	1362.333333	1399	268	1532	1401	217	1440	2395	1207	2402	0
C2orf69	1359.222222	1173	461	2249	1300	409	1034	2290	1026	2291	0
NCAPG2	1356.555556	1505	744	2054	1578	431	2216	1194	494	1993	0
CMSS1	1354.666667	1388	144	2221	711	403	255	2641	2093	2336	0
DEPDC1B	1354.444444	1309	672	1716	1523	229	1794	1874	796	2277	0
PRC1	1351.777778	1416	717	1855	1467	388	1253	1891	1152	2027	0
ZNF688	1348.333333	1053	491	2139	1512	334	1693	2000	739	2174	0
SETD5	1347.555556	1481	229	1822	1393	167	698	2490	1704	2144	0
SRGAP2B	1344.222222	1423	308	2193	1250	425	1036	2476	1417	1570	0
FAM72D	1344.222222	1423	308	2193	1250	425	1036	2476	1417	1570	0
SRGAP2C	1339.888889	1427	225	2271	977	435	1055	2443	1585	1641	0
FAM72B	1339.888889	1427	225	2271	977	435	1055	2443	1585	1641	0
KAZALD1	1329.222222	1353	0	2212	1378	425	630	2434	1308	2223	0
METTL18	1328.444444	1122	747	1723	1869	219	1320	1974	772	2210	0
C1orf112	1328.444444	1122	747	1723	1869	219	1320	1974	772	2210	0
HMGB1	1328.222222	900	0	2237	1639	381	1172	2370	1082	2173	0
RPS29	1326.000000	1428	381	1995	1458	299	845	2187	1046	2295	0
LRR1	1326.000000	1428	381	1995	1458	299	845	2187	1046	2295	0
ESCO2	1325.555556	1448	859	1974	1926	467	1830	1098	521	1807	0
COX8A	1325.111111	784	147	1710	1752	132	1259	2602	1096	2444	0
NOL8	1321.666667	1793	875	1611	1210	474	774	1850	1075	2233	0
CENPP	1321.666667	1793	875	1611	1210	474	774	1850	1075	2233	0
DLGAP5	1309.222222	1066	377	1932	1379	412	788	2315	1428	2086	0
C10orf88	1307.888889	1702	426	1899	1796	81	910	1996	692	2269	0
TCF19	1302.333333	1389	807	1507	1548	409	1548	1746	581	2186	0
POU5F1	1302.333333	1389	807	1507	1548	409	1548	1746	581	2186	0
CCHCR1	1302.333333	1389	807	1507	1548	409	1548	1746	581	2186	0
TTF2	1299.777778	925	214	1926	1204	360	1476	2115	1223	2255	0
MND1	1298.777778	1756	730	2039	1245	326	1803	1089	422	2279	0
LSM5	1298.000000	1220	260	1807	703	257	1229	2721	1356	2129	0
AVL9	1298.000000	1220	260	1807	703	257	1229	2721	1356	2129	0
CCDC107	1297.666667	1755	519	1677	1635	422	1366	1435	515	2355	0
CA9	1297.666667	1755	519	1677	1635	422	1366	1435	515	2355	0
ARHGEF39	1297.666667	1755	519	1677	1635	422	1366	1435	515	2355	0
BIRC5	1294.888889	1212	533	2090	1491	312	2325	886	423	2382	0
MCM3	1294.111111	775	250	1534	1911	369	1707	2178	910	2013	0
CLK2	1287.111111	1093	188	1978	1544	139	1627	2041	980	1994	0
TRAIP	1279.777778	1333	363	2175	1532	333	812	2021	678	2271	0
CDCA8	1278.666667	1226	207	1800	1736	310	1173	1991	1211	1854	0
C1orf109	1278.666667	1226	207	1800	1736	310	1173	1991	1211	1854	0
H2AZ1	1278.000000	1514	0	1899	1063	350	559	2577	1510	2030	0
DNAJB14	1278.000000	1514	0	1899	1063	350	559	2577	1510	2030	0
ZNF331	1274.333333	1241	266	2026	1253	526	568	2244	1296	2049	0
RBSN	1274.222222	1325	531	1473	1199	191	2331	1565	443	2410	0
RRM1	1267.333333	1355	356	1880	1765	205	1921	1148	395	2381	0
DSCC1	1267.222222	886	1119	1248	1612	225	1335	1817	999	2164	0
SHCBP1	1267.000000	1530	394	2054	1322	379	1677	1411	442	2194	0
MMS22L	1266.444444	1397	497	1396	1498	344	1357	2141	646	2122	0
MZT1	1261.888889	2009	624	1824	1419	316	998	1401	645	2121	0
BORA	1261.888889	2009	624	1824	1419	316	998	1401	645	2121	0
LTN1	1257.444444	1025	0	1240	1238	132	1775	2381	1233	2293	0
NEMP1	1255.888889	1486	151	1949	1141	370	950	2007	1235	2014	0
CENPU	1255.777778	1514	1182	1925	985	485	1453	1150	449	2159	0
ARID3B	1250.222222	1226	0	1558	1329	244	870	2532	1152	2341	0
CDC6	1249.888889	1448	426	1966	1229	196	1634	1628	477	2245	0
H3C12	1248.222222	1105	0	1846	1580	579	1050	2133	1217	1724	0
H2BC17	1248.222222	1105	0	1846	1580	579	1050	2133	1217	1724	0
H2AC17	1248.222222	1105	0	1846	1580	579	1050	2133	1217	1724	0
NCAPH	1247.333333	1366	780	1745	1586	420	1334	1524	434	2037	0
ITPRIPL1	1247.333333	1366	780	1745	1586	420	1334	1524	434	2037	0
FOXN2	1245.888889	1353	211	1974	1120	146	1418	1855	841	2295	0
ATAD2	1237.222222	745	611	1263	1807	283	1472	1903	1285	1766	0
H4C13	1237.000000	1177	0	2043	915	414	243	2570	1806	1965	0
H3C11	1237.000000	1177	0	2043	915	414	243	2570	1806	1965	0
H2AC16	1237.000000	1177	0	2043	915	414	243	2570	1806	1965	0
H1-5	1237.000000	1177	0	2043	915	414	243	2570	1806	1965	0
RECQL4	1234.000000	1244	722	2021	1127	597	1647	1226	482	2040	0
MFSD3	1234.000000	1244	722	2021	1127	597	1647	1226	482	2040	0
LRRC24	1234.000000	1244	722	2021	1127	597	1647	1226	482	2040	0
LRRC14	1234.000000	1244	722	2021	1127	597	1647	1226	482	2040	0
C5orf34	1231.000000	1402	230	1588	1420	343	1050	2050	917	2079	0
TIMELESS	1227.555556	955	497	1706	1643	268	1358	1544	820	2257	0
MIP	1227.555556	955	497	1706	1643	268	1358	1544	820	2257	0
SLF1	1220.666667	1334	199	1522	1374	223	1675	1690	718	2251	0
KIAA0825	1220.666667	1334	199	1522	1374	223	1675	1690	718	2251	0
CTCF	1210.333333	1698	561	1909	1320	349	1617	1100	384	1955	0
CEP55	1210.222222	1353	768	2012	1342	218	1357	1291	351	2200	0
CEP295	1210.000000	1494	588	1598	2065	195	1569	948	246	2187	0
YME1L1	1208.444444	1546	735	1613	1389	451	1606	1187	391	1958	0
MASTL	1208.444444	1546	735	1613	1389	451	1606	1187	391	1958	0
CKAP5	1203.111111	1289	713	1910	970	285	1363	1486	464	2348	0
TMEM230	1201.666667	1165	993	1700	1500	295	1560	1405	443	1754	0
PCNA	1201.666667	1165	993	1700	1500	295	1560	1405	443	1754	0
CDS2	1201.666667	1165	993	1700	1500	295	1560	1405	443	1754	0
GMNN	1199.111111	1136	672	1589	1497	294	1702	1279	431	2192	0
PCNT	1198.888889	1148	699	1684	1311	363	1635	1509	692	1749	0
C21orf58	1198.888889	1148	699	1684	1311	363	1635	1509	692	1749	0
RAD18	1197.111111	899	499	1608	1247	217	1939	1901	509	1955	0
H3C3	1195.222222	194	0	1899	1358	662	296	2684	1517	2147	0
H1-2	1195.222222	194	0	1899	1358	662	296	2684	1517	2147	0
KIFC1	1192.333333	1232	579	1458	1350	187	1953	1510	353	2109	0
KIF20B	1191.666667	1269	466	1942	1235	324	745	1771	846	2127	0
UNG	1191.222222	588	577	2100	1461	349	1284	1664	560	2138	0
ALKBH2	1191.222222	588	577	2100	1461	349	1284	1664	560	2138	0
POC1A	1185.333333	1547	892	2060	1177	259	986	1102	367	2278	0
SNRPD2	1184.111111	1267	196	2034	976	381	626	2087	1081	2009	0
QPCTL	1184.111111	1267	196	2034	976	381	626	2087	1081	2009	0
CENPF	1182.777778	1366	450	1929	1148	278	1091	1935	536	1912	0
DSN1	1181.555556	1275	273	1119	1944	184	1443	1626	479	2291	0
THAP10	1181.444444	1378	0	596	1791	382	0	2633	1476	2377	0
LRRC49	1181.444444	1378	0	596	1791	382	0	2633	1476	2377	0
ELOVL1	1181.111111	1206	369	2185	603	416	855	1708	887	2401	0
CDC20	1181.111111	1206	369	2185	603	416	855	1708	887	2401	0
FKBP3	1169.777778	892	0	1917	858	182	322	2769	1516	2072	0
FANCM	1169.777778	892	0	1917	858	182	322	2769	1516	2072	0
CENPA	1169.000000	1099	687	1938	1125	224	1364	1575	510	1999	0
NUP107	1159.333333	761	0	1618	1252	130	599	2679	1462	1933	0
TMEM258	1159.222222	1384	575	1531	1539	167	1151	1541	624	1921	0
FEN1	1159.222222	1384	575	1531	1539	167	1151	1541	624	1921	0
RACGAP1	1157.888889	1082	182	1724	872	275	1008	2111	919	2248	0
GBA	1156.888889	428	662	892	2071	190	1507	2060	551	2051	0
BRIP1	1156.777778	952	432	1823	1220	431	1025	1311	1236	1981	0
KBTBD6	1155.333333	1310	0	680	888	186	294	2946	1778	2316	0
SKA3	1150.888889	785	464	1829	1370	216	1204	1963	622	1905	0
MRPL57	1150.888889	785	464	1829	1370	216	1204	1963	622	1905	0
TOPBP1	1150.777778	1127	531	1473	1318	272	1046	1798	860	1932	0
TF	1150.777778	1127	531	1473	1318	272	1046	1798	860	1932	0
TMEM129	1149.555556	1459	523	1799	1343	314	1548	927	233	2200	0
TACC3	1149.555556	1459	523	1799	1343	314	1548	927	233	2200	0
SLBP	1149.555556	1459	523	1799	1343	314	1548	927	233	2200	0
C15orf41	1145.666667	1370	374	2188	1147	469	258	1848	777	1880	0
CIT	1144.888889	1228	568	1743	1157	484	1146	1379	662	1937	0
DEPDC1	1144.333333	1621	646	1876	815	386	1408	1075	321	2151	0
RECQL	1140.111111	1111	0	1701	1112	333	839	2086	889	2190	0
GOLT1B	1140.111111	1111	0	1701	1112	333	839	2086	889	2190	0
VPS26B	1137.777778	1073	640	1815	1170	318	1457	1027	453	2287	0
NCAPD3	1137.777778	1073	640	1815	1170	318	1457	1027	453	2287	0
HROB	1135.666667	858	450	2062	1165	241	1067	1640	607	2131	0
CEP192	1135.666667	913	421	1731	1084	288	1155	1819	630	2180	0
RBM15	1134.777778	1117	0	1855	1127	385	326	2275	1247	1881	0
ASF1B	1132.777778	1110	997	1940	1366	475	1257	872	383	1795	0
CDK1	1130.777778	631	523	1757	1304	243	1662	1410	558	2089	0
PRKDC	1127.444444	906	481	1260	1619	224	1931	1323	327	2076	0
MCM4	1127.444444	906	481	1260	1619	224	1931	1323	327	2076	0
ARHGAP19	1122.666667	1350	0	2193	860	488	559	1795	662	2197	0
CDC23	1119.444444	951	0	2074	1373	318	901	1664	578	2216	0
RARS2	1118.444444	1304	232	1253	1246	207	1087	1643	815	2279	0
ORC3	1118.444444	1304	232	1253	1246	207	1087	1643	815	2279	0
TTLL9	1118.333333	1078	265	1378	1122	140	1111	2060	935	1976	0
DUSP15	1118.333333	1078	265	1378	1122	140	1111	2060	935	1976	0
RTTN	1117.555556	843	203	1738	1228	152	1105	2017	794	1978	0
TIAL1	1117.222222	1569	0	1516	1043	236	609	1998	861	2223	0
MYO9B	1114.888889	1185	669	1724	892	448	1246	1202	442	2226	0
HAUS8	1114.888889	1185	669	1724	892	448	1246	1202	442	2226	0
MKI67	1114.333333	1048	359	2163	900	635	1551	918	517	1938	0
LIN9	1112.666667	1507	645	1876	862	203	1428	1088	321	2084	0
MELK	1110.222222	1076	581	1828	1355	310	1253	1293	271	2025	0
STARD6	1104.888889	1423	457	1879	1208	288	1081	1036	226	2346	0
C18orf54	1104.888889	1423	457	1879	1208	288	1081	1036	226	2346	0
CSTF2T	1103.444444	958	174	1112	1141	234	1214	1863	806	2429	0
NUPR2	1090.444444	457	166	1547	1390	183	483	2172	987	2429	0
CHCHD2	1090.444444	457	166	1547	1390	183	483	2172	987	2429	0
ZNF888	1085.777778	1007	0	1811	1096	221	298	2033	890	2416	0
POLD3	1083.888889	851	0	1150	2021	123	1920	1403	302	1985	0
PLK4	1075.000000	667	503	1916	781	278	1615	1455	505	1955	0
SMC2	1073.111111	764	0	1999	704	301	441	2279	920	2250	0
MYBL2	1072.888889	1097	303	1739	1185	482	1522	768	414	2146	0
CDC25A	1072.444444	685	207	1756	1441	231	1255	1372	449	2256	0
SASS6	1066.222222	923	300	1912	1093	326	963	1294	569	2216	0
TCOF1	1063.333333	701	152	1236	1323	565	232	2145	1154	2062	0
KCTD9	1062.333333	1612	640	1705	900	542	1070	846	377	1869	0
CDCA2	1062.333333	1612	640	1705	900	542	1070	846	377	1869	0
PEX19	1060.666667	472	0	2108	785	358	560	2154	941	2168	0
TNKS	1056.555556	946	0	1557	1018	220	1144	1788	500	2336	0
HMGB2	1052.222222	373	400	1979	1176	344	1551	1393	539	1715	0
SKA2	1051.000000	1079	0	1748	889	268	503	1831	1252	1889	0
PRR11	1051.000000	1079	0	1748	889	268	503	1831	1252	1889	0
MIS18A	1047.777778	1232	510	2100	735	296	901	917	416	2323	0
DCLRE1B	1046.666667	694	547	1252	1282	108	1208	2161	796	1372	0
AP4B1	1046.666667	694	547	1252	1282	108	1208	2161	796	1372	0
H4C9	1046.000000	749	185	1636	1382	271	1320	1422	609	1840	0
IPO11	1044.222222	585	0	1637	1408	86	1375	1650	455	2202	0
DIMT1	1044.222222	585	0	1637	1408	86	1375	1650	455	2202	0
MRPL55	1043.888889	915	327	1911	996	228	1721	737	244	2316	0
C1orf35	1043.888889	915	327	1911	996	228	1721	737	244	2316	0
GORASP2	1043.333333	668	167	1097	1475	147	1228	1950	630	2028	0
SLC35E3	1038.444444	784	0	920	1229	337	323	2297	1114	2342	0
RMI2	1038.111111	781	550	1654	895	292	1632	1010	248	2281	0
ZNF367	1037.888889	1179	705	1505	1144	292	1268	1094	492	1662	0
SPDL1	1036.444444	1041	187	1824	527	190	705	1788	819	2247	0
SRSF1	1035.444444	749	0	1210	1430	100	1550	1607	412	2261	0
TEDC1	1035.111111	1376	593	1898	867	469	592	1161	560	1800	0
CRIP1	1035.111111	1376	593	1898	867	469	592	1161	560	1800	0
UBE2S	1034.666667	1453	296	1601	827	191	1296	1046	411	2191	0
ZNF473	1031.444444	1044	0	1653	948	291	621	1700	752	2274	0
VRK3	1031.444444	1044	0	1653	948	291	621	1700	752	2274	0
DUT	1028.777778	1367	241	1525	1291	562	1384	733	217	1939	0
RAB41	1027.777778	825	252	0	2000	211	1422	1798	598	2144	0
PDZD11	1027.777778	825	252	0	2000	211	1422	1798	598	2144	0
KIF4A	1027.777778	825	252	0	2000	211	1422	1798	598	2144	0
CKAP2L	1025.888889	835	432	1748	1257	143	1064	1303	484	1967	0
H2BC11	1025.555556	749	185	1636	1198	271	1320	1422	609	1840	0
H2AC11	1025.555556	749	185	1636	1198	271	1320	1422	609	1840	0
UMAD1	1022.888889	800	0	1025	1521	227	1409	1635	892	1697	0
GINS2	1020.888889	793	391	1494	858	308	1838	932	329	2245	0
ASH2L	1020.666667	1010	294	1711	921	227	1257	1024	465	2277	0
LIM2	1020.333333	481	421	1676	1406	215	1708	1112	222	1942	0
C19orf84	1020.333333	481	421	1676	1406	215	1708	1112	222	1942	0
METTL15	1020.000000	943	381	1324	1229	143	1082	1547	602	1929	0
KIF18A	1020.000000	943	381	1324	1229	143	1082	1547	602	1929	0
SGO2	1019.666667	1111	374	1842	797	241	582	1401	600	2229	0
HMBS	1019.222222	949	125	2006	553	161	1164	1493	546	2176	0
H2AX	1019.222222	949	125	2006	553	161	1164	1493	546	2176	0
DPAGT1	1019.222222	949	125	2006	553	161	1164	1493	546	2176	0
RDM1	1016.777778	815	494	1988	763	193	1424	1029	260	2185	0
LIN52	1014.222222	795	0	1303	1342	0	1576	1304	402	2406	0
ALDH6A1	1014.222222	795	0	1303	1342	0	1576	1304	402	2406	0
MDN1	1012.888889	643	0	1443	1296	274	1421	1146	539	2354	0
CASP8AP2	1012.888889	643	0	1443	1296	274	1421	1146	539	2354	0
NUP133	1011.888889	909	175	1462	1049	173	1425	1200	497	2217	0
TUBAL3	1010.777778	760	233	1317	1140	165	936	1539	678	2329	0
NET1	1010.777778	760	233	1317	1140	165	936	1539	678	2329	0
FANCA	1010.777778	1558	504	1261	1023	310	1140	1061	260	1980	0
RAD51	1008.000000	724	430	1216	1690	148	1525	1074	325	1940	0
MOSPD2	1004.444444	1362	257	0	1846	254	1236	1379	698	2008	0
FANCB	1004.444444	1362	257	0	1846	254	1236	1379	698	2008	0
