Complex	HGNC ID (gene)	Approved symbol	Approved name	Previous symbols	Aliases	Chromosome
DISC	HGNC:3573	FADD	Fas associated via death domain		MORT1,GIG3	11q13.3
DISC	HGNC:11920	FAS	Fas cell surface death receptor	FAS1,APT1,TNFRSF6	CD95,APO-1	10q23.31
DISC	HGNC:11936	FASLG	Fas ligand	APT1LG1,TNFSF6	FasL,CD178	1q24.3
ELO	HGNC:11620	ELOA	elongin A	TCEB3	SIII,TCEB3A	1p36.11
ELO	HGNC:30771	ELOA2	elongin A2	TCEB3B	HsT832,TCEB3L	18q21.1
ELO	HGNC:11619	ELOB	elongin B	TCEB2	SIII	16p13.3
ELO	HGNC:11617	ELOC	elongin C	TCEB1	SIII	8q21.11
EMSY	HGNC:18071	EMSY	EMSY transcriptional repressor, BRCA2 interacting	C11orf30		11q13.5
EMSY	HGNC:29941	GATAD1	GATA zinc finger domain containing 1		ODAG,RG083M05.2,FLJ22489	7q21.2
EMSY	HGNC:4852	HDAC1	histone deacetylase 1	RPD3L1	HD1,GON-10,KDAC1	1p35.2-p35.1
EMSY	HGNC:4853	HDAC2	histone deacetylase 2		RPD3,YAF1,KDAC2	6q21
EMSY	HGNC:9886	KDM5A	lysine demethylase 5A	RBBP2,JARID1A		12p13.33
EMSY	HGNC:16989	MORF4L1	mortality factor 4 like 1		MRG15,MORFRG15,HsT17725,Eaf3,MEAF3	15q25.1
EMSY	HGNC:16849	MORF4L2	mortality factor 4 like 2		KIAA0026,MRGX	Xq22.2
EMSY	HGNC:20816	PHF12	PHD finger protein 12		PF1,KIAA1523	17q11.2
EMSY	HGNC:9887	RBBP4	RB binding protein 4, chromatin remodeling factor		RbAp48,NURF55,lin-53	1p35.1
EMSY	HGNC:9890	RBBP7	RB binding protein 7, chromatin remodeling factor		RbAp46	Xp22.2
EMSY	HGNC:19353	SIN3A	SIN3 transcription regulator family member A		KIAA0700,DKFZP434K2235	15q24.2
EMSY	HGNC:19354	SIN3B	SIN3 transcription regulator family member B		KIAA0700	19p13.11
eNoSC	HGNC:29030	RRP8	ribosomal RNA processing 8	KIAA0409	NML	11p15.4
eNoSC	HGNC:14929	SIRT1	sirtuin 1		SIR2L1	10q21.3
eNoSC	HGNC:11479	SUV39H1	suppressor of variegation 3-9 homolog 1	SUV39H	KMT1A	Xp11.23
FA	HGNC:3582	FANCA	FA complementation group A	FACA,FANCH	FAA,FA-H,FAH	16q24.3
FA	HGNC:3583	FANCB	FA complementation group B		FAB,FLJ34064,FAAP95	Xp22.2
FA	HGNC:3584	FANCC	FA complementation group C	FACC	FAC,FA3	9q22.32
FA	HGNC:3586	FANCE	FA complementation group E	FACE	FAE	6p21.31
FA	HGNC:3587	FANCF	FA complementation group F		FAF	11p14.3
FA	HGNC:3588	FANCG	FA complementation group G	XRCC9	FAG	9p13.3
FA	HGNC:20748	FANCL	FA complementation group L	PHF9	FLJ10335,FAAP43,Pog	2p16.1
FA	HGNC:23168	FANCM	FA complementation group M	KIAA1596	FAAP250	14q21.2
GATOR	HGNC:18423	DEPDC5	DEP domain containing 5, GATOR1 subcomplex subunit			22q12.2-q12.3
GATOR	HGNC:24969	NPRL2	NPR2 like, GATOR1 complex subunit	TUSC4		3p21.31
GATOR	HGNC:14124	NPRL3	NPR3 like, GATOR1 complex subunit	C16orf35		16p13.3
GATOR	HGNC:21905	MIOS	meiosis regulator for oocyte development			7p21.3
GATOR	HGNC:10697	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component	D3S1231E,SEC13L1		3p25.3
GATOR	HGNC:30379	SEH1L	SEH1 like nucleoporin			18p11.21
GATOR	HGNC:20852	WDR24	WD repeat domain 24	C16orf21		16p13.3
GATOR	HGNC:25706	WDR59	WD repeat domain 59			16q23.1
GBAF	HGNC:132	ACTB	actin beta			7p22.1
GBAF	HGNC:24124	ACTL6A	actin like 6A		Actl6,BAF53A,Arp4,Baf53a,INO80K	3q26.33
GBAF	HGNC:160	ACTL6B	actin like 6B	ACTL6	BAF53B	7q22.1
GBAF	HGNC:4332	BICRA	BRD4 interacting chromatin remodeling complex associated protein	GLTSCR1		19q13.33
GBAF	HGNC:21111	BICRAL	BRD4 interacting chromatin remodeling complex associated protein like	KIAA0240,GLTSCR1L		6p21.1
GBAF	HGNC:25818	BRD9	bromodomain containing 9		FLJ13441	5p15.33
GBAF	HGNC:11098	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	SNF2L2	BAF190,hSNF2a,hBRM,Sth1p,SNF2LA,BRM,SNF2,SWI2	9p24.3
GBAF	HGNC:11100	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	SNF2L4	hSNF2b,BRG1,BAF190,SNF2,SWI2,SNF2-BETA,SNF2LB,FLJ39786	19p13.2
GBAF	HGNC:11104	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1		BAF155,SRG3,Rsc8,CRACC1	3p21.31
GBAF	HGNC:11106	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1		BAF60A,Rsc6p,CRACD1	12q13.12
GBAF	HGNC:11107	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2		BAF60B,Rsc6p,CRACD2,PRO2451	17q23.3
GBAF	HGNC:11108	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3		BAF60C,Rsc6p,CRACD3	7q36.1
GBAF	HGNC:11340	SS18	SS18 subunit of BAF chromatin remodeling complex	SSXT	SYT	18q11.2
IKK	HGNC:1974	CHUK	component of inhibitor of nuclear factor kappa B kinase complex	TCF16	IKK1,IKK-alpha,IkBKA,NFKBIKA,IKKA	10q24.31
IKK	HGNC:5960	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta		IKK2,NFKBIKB,IKK-beta,IKKB	8p11.21
IKK	HGNC:5961	IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	IP2,IP1	IKK-gamma,NEMO,Fip3p,FIP-3,FIP3,ZC2HC9	Xq28
INHAT	HGNC:13233	ANP32A	acidic nuclear phosphoprotein 32 family member A	C15orf1	LANP,PP32,I1PP2A,PHAPI,MAPM,mapmodulin	15q23
INHAT	HGNC:10760	SET	SET nuclear proto-oncogene		PHAPII,2PP2A,IPP2A2,TAF-IBETA,IGAAD,TAF-I	9q34.11
INO80	HGNC:26956	INO80	INO80 complex ATPase subunit	INOC1	KIAA1259,hINO80,INO80A	15q15.1
INO80	HGNC:13324	INO80B	INO80 complex subunit B	HMGA1L4,ZNHIT4	HMGIYL4,PAPA-1,hIes2,PAP-1BP,IES2	2p13.1
INO80	HGNC:26994	INO80C	INO80 complex subunit C	C18orf37	FLJ38183,hIes6,IES6	18q12.2
INO80	HGNC:25997	INO80D	INO80 complex subunit D		FLJ20309	2q33.3
INO80	HGNC:26905	INO80E	INO80 complex subunit E	CCDC95	FLJ90652	16p11.2
INO80	HGNC:13630	TFPT	TCF3 fusion partner		FB1,amida,INO80F	19q13.42
INO80	HGNC:7802	NFRKB	nuclear factor related to kappaB binding protein		DKFZp547B2013,INO80G	11q24.3
INO80	HGNC:10474	RUVBL1	RuvB like AAA ATPase 1		TIP49,NMP238,RVB1,TIP49a,Pontin52,ECP54,TIH1,Rvb1,INO80H	3q21.3
INO80	HGNC:10475	RUVBL2	RuvB like AAA ATPase 2		RVB2,TIP48,TIP49b,Reptin52,ECP51,TIH2,INO80J,Rvb2	19q13.33
INO80	HGNC:24124	ACTL6A	actin like 6A		Actl6,BAF53A,Arp4,Baf53a,INO80K	3q26.33
INO80	HGNC:14671	ACTR5	actin related protein 5		FLJ12785,Arp5,INO80M	20q11.23
INO80	HGNC:14672	ACTR8	actin related protein 8		INO80N,ARP8	3p21.1
INO80	HGNC:6960	MCRS1	microspherule protein 1		ICP22BP,MSP58,P78,MCRS2,INO80Q	12q13.12
INO80	HGNC:19678	UCHL5	ubiquitin C-terminal hydrolase L5		UCH37,CGI-70,INO80R	1q31.2
INO80	HGNC:12856	YY1	YY1 transcription factor		NF-E1,DELTA,UCRBP,YIN-YANG-1,INO80S	14q32.2
KEOPS	HGNC:20356	GON7	GON7 subunit of KEOPS complex	C14orf142		14q32.12
KEOPS	HGNC:26058	LAGE3	L antigen family member 3		ITBA2,CVG5,DXS9951E,DXS9879E,ESO3,Pcc1	Xq28
KEOPS	HGNC:18028	OSGEP	O-sialoglycoprotein endopeptidase		PRSMG1,GCPL1,OSGEP1,KAE1,TCS3	14q11.2
KEOPS	HGNC:24259	TPRKB	TP53RK binding protein		CGI-121,CGI121	2p13.1
KEOPS	HGNC:16197	TP53RK	TP53 regulating kinase	C20orf64	dJ101A2.2,prpk,Nori-2p,BUD32,TPRKB	20q13.12
KICSTOR	HGNC:26517	C12orf66	chromosome 12 open reading frame 66		FLJ32549	12q14.2
KICSTOR	HGNC:30879	ITFG2	integrin alpha FG-GAP repeat containing 2	FGGAP1	MDS028	12p13.33
KICSTOR	HGNC:6404	KPTN	kaptin, actin binding protein		2.00E+04	19q13.32
KICSTOR	HGNC:29040	SZT2	SZT2 subunit of KICSTOR complex	C1orf84,KIAA0467	FLJ10387,SZT2B,RP11-506B15.1,FLJ34502,SZT2A	1p34.2
MED	HGNC:1581	CCNC	cyclin C		CycC	6q16.2
MED	HGNC:1779	CDK8	cyclin dependent kinase 8		K35	13q12.13
MED	HGNC:19338	CDK19	cyclin dependent kinase 19	CDK11,CDC2L6	KIAA1028,bA346C16.3	6q21
MED	HGNC:9234	MED1	mediator complex subunit 1	TRIP2,PPARGBP,PPARBP	PBP,TRAP220,RB18A,DRIP230,CRSP200,CRSP1	17q12
MED	HGNC:23074	MED29	mediator complex subunit 29	IXL	DKFZp434H247,MED2	19q13.2
MED	HGNC:2377	MED27	mediator complex subunit 27	CRSP8	TRAP37,CRSP34,MED3	9q34.13
MED	HGNC:17903	MED4	mediator complex subunit 4	VDRIP	HSPC126,DRIP36,TRAP36	13q14.2
MED	HGNC:22963	MED24	mediator complex subunit 24	THRAP4,CRSP4	TRAP100,KIAA0130,DRIP100,CRSP100,MED5	17q21.1
MED	HGNC:19970	MED6	mediator complex subunit 6		NY-REN-28	14q24.2
MED	HGNC:2378	MED7	mediator complex subunit 7	CRSP9	CRSP33	5q33.3
MED	HGNC:19971	MED8	mediator complex subunit 8		MGC17544,MGC19641,ARC32	1p34.2
MED	HGNC:25487	MED9	mediator complex subunit 9		FLJ10193,MED25	17p11.2
MED	HGNC:28760	MED10	mediator complex subunit 10		TRG20,L6,MGC5309,NUT2	5p15.31
MED	HGNC:32687	MED11	mediator complex subunit 11		HSPC296,MGC88387	17p13.2
MED	HGNC:11957	MED12	mediator complex subunit 12	TNRC11,FGS1	CAGH45,HOPA,OPA1,TRAP230,KIAA0192,OKS,ARC240,Kto	Xq13.1
MED	HGNC:16050	MED12L	mediator complex subunit 12L		KIAA1635,TNRC11L,TRALPUSH,TRALP	3q25.1
MED	HGNC:22474	MED13	mediator complex subunit 13	THRAP1	KIAA0593,TRAP240	17q23.2
MED	HGNC:22962	MED13L	mediator complex subunit 13L	THRAP2	KIAA1025,TRAP240L	12q24.21
MED	HGNC:2370	MED14	mediator complex subunit 14	CXorf4,CRSP2	EXLM1,CRSP150,TRAP170,RGR1,CSRP	Xp11.4
MED	HGNC:14248	MED15	mediator complex subunit 15	TNRC7,PCQAP	TIG-1,CAG7A,Arc105	22q11.21
MED	HGNC:17556	MED16	mediator complex subunit 16	THRAP5	DRIP92,TRAP95	19p13.3
MED	HGNC:2375	MED17	mediator complex subunit 17	CRSP6	CRSP77,TRAP80,DRIP80,SRB4	11q21
MED	HGNC:25944	MED18	mediator complex subunit 18		FLJ20045,p28b,SRB5	1p35.3
MED	HGNC:29600	MED19	mediator complex subunit 19		LCMR1	11q12.1
MED	HGNC:16840	MED20	mediator complex subunit 20	TRFP	DKFZp586D2223,PRO0213,SRB2	6p21.1
MED	HGNC:11473	MED21	mediator complex subunit 21	SURB7	SRB7	12p11.23
MED	HGNC:11477	MED22	mediator complex subunit 22	SURF5	Med24,SRB6	9q34.2
MED	HGNC:2372	MED23	mediator complex subunit 23	CRSP3,MRT18	CRSP130,DRIP130,Sur2	6q23.2
MED	HGNC:28845	MED25	mediator complex subunit 25		ARC92,ACID1,TCBAP0758,DKFZp434K0512	19q13.33
MED	HGNC:2376	MED26	mediator complex subunit 26	CRSP7	CRSP70	19p13.11
MED	HGNC:24628	MED28	mediator complex subunit 28		EG1,DKFZP434N185,magicin	4p15.32
MED	HGNC:23032	MED30	mediator complex subunit 30	THRAP6	TRAP25	8q24.11
MED	HGNC:24260	MED31	mediator complex subunit 31		CGI-125,Soh1	17p13.1
MKS	HGNC:7121	MKS1	MKS transition zone complex subunit 1	MKS	FLJ20345,POC12,BBS13	17q22
MKS	HGNC:28396	TMEM67	transmembrane protein 67	MKS3	MGC26979,JBTS6,NPHP11	8q22.1
MKS	HGNC:29021	CEP290	centrosomal protein 290		KIAA0373,FLJ13615,3H11Ag,rd16,NPHP6,JBTS5,SLSN6,LCA10,MKS4,BBS14,CT87,POC3	12q21.32
MKS	HGNC:29253	CC2D2A	coiled-coil and C2 domain containing 2A		KIAA1345,MKS6,JBTS9	4p15.32
MKS	HGNC:25774	TCTN2	tectonic family member 2	C12orf38	FLJ12975,TECT2,MKS8,JBTS24	12q24.31
MKS	HGNC:24123	B9D1	B9 domain containing 1		B9,EPPB9,MKS9,MKSR-1	17p11.2
MKS	HGNC:28636	B9D2	B9 domain containing 2		MGC4093,MKS10,MKSR-2	19q13.2
MKS	HGNC:37234	TMEM231	transmembrane protein 231		FLJ22167,ALYE870,PRO1886,JBTS20,MKS11	16q23.1
MKS	HGNC:26113	TCTN1	tectonic family member 1		FLJ21127,TECT1,JBTS13	12q24.11
MRN	HGNC:7230	MRE11	MRE11 homolog, double strand break repair nuclease	MRE11A	ATLD	11q21
MRN	HGNC:7652	NBN	nibrin	NBS,NBS1	ATV,AT-V2,AT-V1	8q21.3
MRN	HGNC:9816	RAD50	RAD50 double strand break repair protein		hRad50,RAD50-2	5q31.1
MRN	HGNC:26157	WDCP	WD repeat and coiled coil containing	C2orf44	FLJ21945,MMAP	2p23.3
MSL	HGNC:17933	KAT8	lysine acetyltransferase 8	MYST1	MOF,FLJ14040,hMOF,ZC2HC8	16p11.2
MSL	HGNC:27905	MSL1	MSL complex subunit 1		hMSL1,MSL-1,DKFZp686P24239	17q21.1
MSL	HGNC:25544	MSL2	MSL complex subunit 2	RNF184,MSL2L1	FLJ10546,KIAA1585,msl-2	3q22.3
MSL	HGNC:7370	MSL3	MSL complex subunit 3	MSL3L1		Xp22.2
MTOR1	HGNC:28426	AKT1S1	AKT1 substrate 1		PRAS40,MGC2865,Lobe	19q13.33
MTOR1	HGNC:24825	MLST8	MTOR associated protein, LST8 homolog		Lst8,Pop3,GBL,GbetaL	16p13.3
MTOR1	HGNC:3942	MTOR	mechanistic target of rapamycin kinase	FRAP,FRAP2,FRAP1	RAFT1,RAPT1,FLJ44809	1p36.22
MTOR1	HGNC:30287	RPTOR	regulatory associated protein of MTOR complex 1		KOG1,Mip1,KIAA1303,raptor	17q25.3
MTOR2	HGNC:18752	MAPKAP1	MAPK associated protein 1		MGC2745,SIN1,MIP1	9q33.3
